place_id,place_name,place_type,city,Climate,Operating_Hours
10,Valley of the Kings,Historic,Luxor,Rainy,10:00-20:00
1,Giza Pyramids,Monument,Giza,Mild,24 Hours
14,Abu Simbel Temples,Monument,Aswan,Hot,6:00-22:00
4,Saint Catherine's Monastery,Religious,South Sinai,Rainy,7:00-15:00
6,Karnak Temple,Monument,Luxor,Sunny,7:00-15:00
11,Coptic Cairo,Religious,Cairo,Windy,24 Hours
12,Al-Azhar Park,Nature,Cairo,Sunny,10:00-20:00
5,Dahab,Beach,South Sinai,Cool,9:00-18:00
2,Egyptian Museum,Museum,Cairo,Sunny,10:00-20:00
16,Montaza Palace,Historic,Alexandria,Windy,7:00-15:00
8,Aswan Philae Temple,Historic,Aswan,Cool,24 Hours
13,Khan El Khalili,Market,Cairo,Hot,8:00-17:00
9,El Alamein Military Museum,Museum,El Alamein,Hot,6:00-22:00
19,Hurghada Marina,Beach,Hurghada,Rainy,24 Hours
17,Fayoum Waterwheels,Nature,Fayoum,Hot,24 Hours
7,Siwa Oasis,Desert,Siwa,Hot,7:00-15:00
15,Alexandria Library,Museum,Alexandria,Hot,7:00-15:00
18,Wadi El Rayan,Nature,Fayoum,Windy,7:00-15:00
20,El Gouna,Beach,Hurghada,Windy,10:00-20:00
3,Ras Mohamed National Park,Nature,Sharm El Sheikh,Sunny,7:00-15:00
